zip,stu_id,ssn,name,dob,age,sex,race,ethn,snap,income,learn_dis,phys_dis,math_sc,read_sc
80220,8206630976,998126245,Stan Marsh,10/19/2012,10,Male,White,Non-hispanic,0,"200,000-249,999",0,0,299,300
80220,6555504757,807281100,Kyle Broflovski,05/26/2012,10,Male,White,Non-hispanic,0,"100,000-149,999",0,0,209,209
80220,5737953702,890807948,Kenny McCormick,03/12/2011,11,Male,White,Non-hispanic,1,"10,000-24,999",0,0,200,201
80220,5705942436,991920659,Eric Cartman,07/01/2012,10,Male,White,Non-hispanic,0,"75,000-99,999",0,0,211,215
80220,2809004240,921479968,Butters Scotch,11/11/2012,10,Male,White,Non-hispanic,0,"75,000-99,999",0,0,224,230
80220,4486369132,804989533,Clyde Donovan,04/10/2012,10,Male,White,Non-hispanic,0,"75,000-99,999",0,0,213,227
80220,4038126650,854569146,Wendy Testaburger,12/04/2013,9,Female,White,Non-hispanic,0,"100,000-149,999",0,0,204,210
80221,6008064113,761499326,Bebe Stevens,01/01/2013,10,Female,White,Non-hispanic,0,"75,000-99,999",0,0,202,214
80220,8307803951,925072083,Tolkien Williams,05/25/2012,10,Male,Black,Non-hispanic,0,"500,000+",0,0,202,222
80220,3787379332,772439783,Timmy Burch,11/25/2012,10,Male,White,Non-hispanic,0,"75,000-99,999",1,1,205,225
80221,6685370248,693123835,Jimmy Valmer,06/20/2011,11,Male,White,Non-hispanic,0,"75,000-99,999",0,1,211,206
80221,6730800673,947344677,Craig Tucker,03/05/2012,10,Male,White,Non-hispanic,0,"75,000-99,999",0,0,205,226
80220,7961994919,795573368,Tweek Tweak,09/08/2013,9,Male,White,Non-hispanic,0,"75,000-99,999",1,0,225,190
80220,4109750140,784443358,Karen McCormick,01/31/2014,9,Female,White,Non-hispanic,1,"10,000-24,999",0,0,220,208
80222,5809626852,727780211,Scott Malkinson,02/28/2013,9,Male,White,Non-hispanic,0,"75,000-99,999",0,0,310,280
80220,3022294345,931425223,Kevin Stoley,06/02/2013,9,Male,White,Non-hispanic,0,"75,000-99,999",0,0,217,203
80221,2503282093,923511748,Ike Broflovksi,10/14/2012,10,Male,White,Non-hispanic,0,"75,000-99,999",0,0,225,227
80222,3120649456,915859337,Firkle Smith,12/16/2012,10,Male,White,Non-hispanic,0,"100,000-149,999",0,0,223,214
80222,8281247724,747094897,Pete Thelman,10/24/2013,9,Male,White,Non-hispanic,0,"100,000-149,999",0,0,204,208
