case_id,year,month,type,county,state,lat,long,inj_level,condition,origin,gear,fishery_license,fine,infraction_type
20000201Er,2000,2,Gray Whale,San Diego,CA,32.67,-117.229,8,alive,commercial,gillnet,4649644859,1,1
20000316Er,2000,3,Gray Whale,Orange,CA,33.383,-117.617,8,alive,commercial,gillnet,7918308514,1,1
20000327Er,2000,3,Gray Whale,Los Angeles,CA,33.992,-118.804,7,alive,commercial,gillnet,6621060947,0,0
20000330Er,2000,3,Gray Whale,Los Angeles,CA,33.71,-118.224,10,dead,commercial,gillnet,3702613383,1,1
20000404Er,2000,4,Gray Whale,Santa Barbara,CA,33.72,-118.08,10,dead,commercial,trap,7084197273,1,1
20000610Er,2000,6,Gray Whale,Santa Cruz,CA,36.953,-121.91,5,alive,commercial,gillnet,1321152653,0,0
20000707Mn,2000,7,Humpback Whale,Monterey,CA,36.717,-121.998,3,alive,commercial,gillnet,9285967695,0,0
20000830Mn,2000,8,Humpback Whale,San Luis Obispo,CA,35.083,-120.7,3,alive,commercial,gillnet,8238148365,0,0
20001118Mn,2000,11,Humpback Whale,Monterey,CA,36.795,-121.792,10,dead,commercial,line_buoys,5159984172,1,1
20010923Mn,2001,9,Humpback Whale,Marin,CA,37.783,-122.567,3,alive,commercial,trap,2971415157,0,0
20020424Er,2002,4,Gray Whale,Santa Barbara,CA,34.407,-119.906,3,alive,commercial,gillnet,4637862711,0,0
20020514Er,2002,5,Gray Whale,Los Angeles,CA,33.737,-118.416,3,alive,commercial,gillnet,2057913913,0,0
20020803Er,2002,8,Gray Whale,Grays Harbor,WA,46.3,-124.03,10,dead,commercial,net,7231978578,1,1
20030131Er,2003,1,Gray Whale,San Luis Obispo,CA,35.41,-121.118,3,alive,commercial,slack _lines,1369505316,0,0
20030325Er,2003,3,Gray Whale,Orange,CA,33.367,-117.633,3,alive,commercial,gillnet,5127382948,0,0
20030329Mn,2003,3,Humpback Whale,Monterey,CA,36.66,-121.883,3,alive,commercial,trap,5689850922,0,0
20030420Er,2003,4,Gray Whale,Tillamook,OR,45.39,-123.967,10,dead,commercial,slack _lines,9442827252,1,1
20030518Er,2003,5,Gray Whale,Island,WA,47.97,-122.344,3,alive,commercial,gillnet,8272479069,0,0
20030527Mn,2003,5,Humpback Whale,Santa Barbara,CA,34.167,-120.017,3,alive,commercial,trap,9420165428,0,0
20030710Er,2003,7,Gray Whale,Grays Harbor,WA,47.07,-124.177,10,dead,commercial,gillnet,9770778086,1,1
20030831Mn,2003,8,Humpback Whale,San Francisco,CA,37.684,-122.934,3,alive,commercial,trap,7215140484,0,0
